Hospital,Location,Department,Doctors ,Patients ,Admission_date,Discharge_date,Medical_expenses
Wellness Clinic,Chennai,Orthopedics,47,182,12/13/2023,12/14/2023,31364.88
Healing Touch,Mumbai,Dermatology,39,70,9/13/2023,9/15/2023,13282.51
City Hospital,Lucknow,Cardiology,32,67,11/18/2023,11/24/2023,36748.42
Fortis Care,Jaipur,Orthopedics,27,60,9/18/2023,9/24/2023,37056.51
Healing Touch,Chennai,Cardiology,17,60,6/27/2023,6/30/2023,9348.55
Green Valley Hospital,Chennai,Pediatrics,40,96,3/22/2023,3/28/2023,48548.44
Fortis Care,Mumbai,Urology,46,154,2/14/2023,2/18/2023,41367.1
Fortis Care,Ahmedabad,Oncology,32,116,10/28/2023,10/30/2023,40799.02
Apollo Health,Hyderabad,Orthopedics,5,79,3/25/2023,3/29/2023,20952.51
Healing Touch,Pune,Cardiology,46,55,9/25/2023,9/29/2023,25298.5
Global Medicare,Chennai,Dermatology,36,69,9/19/2023,9/20/2023,44452.26
Healing Touch,Mumbai,Neurology,20,94,8/21/2023,8/28/2023,49955.41
Global Medicare,Kolkata,Orthopedics,22,133,2/13/2023,2/28/2023,18795.69
Wellness Clinic,Jaipur,Neurology,47,84,1/20/2023,1/26/2023,26646.52
Fortis Care,Jaipur,Oncology,15,40,10/23/2023,10/26/2023,37057.29
Healing Touch,Delhi,General Medicine,46,23,5/27/2023,5/29/2023,40771.84
City Hospital,Kolkata,Urology,6,166,12/16/2023,12/25/2023,40731.29
Fortis Care,Bangalore,Gynecology,30,69,11/13/2023,11/26/2023,14701.02
City Hospital,Jaipur,Gynecology,11,22,5/15/2023,5/18/2023,48466.08
Green Valley Hospital,Ahmedabad,Dermatology,15,112,3/26/2023,3/28/2023,32628.67
Green Valley Hospital,Bangalore,Pediatrics,8,177,8/13/2023,8/17/2023,15913.48
Healing Touch,Hyderabad,Pediatrics,30,158,11/13/2023,11/22/2023,16757.51
Fortis Care,Pune,Oncology,41,47,3/25/2023,3/29/2023,8519.11
Metro Hospital,Chennai,Pediatrics,9,134,5/17/2023,5/31/2023,48873.72
Global Medicare,Ahmedabad,Orthopedics,48,138,1/18/2023,1/26/2023,46741.91
Global Medicare,Bangalore,ENT,42,58,9/18/2023,9/19/2023,26614.52
Healing Touch,Ahmedabad,Urology,21,50,6/22/2023,6/27/2023,10978.18
Global Medicare,Delhi,ENT,21,66,12/29/2023,1/13/2024,31175.27
Heritage Hospital,Bangalore,ENT,26,85,9/25/2023,9/29/2023,7502.64
Fortis Care,Bangalore,ENT,14,62,12/17/2023,12/30/2023,13590.65
Apollo Health,Ahmedabad,Neurology,28,102,12/13/2023,12/20/2023,23328.9
Heritage Hospital,Lucknow,Neurology,44,194,8/18/2023,8/27/2023,33963.65
Global Medicare,Ahmedabad,Urology,17,29,1/16/2023,1/25/2023,17999.48
Sunrise Medical,Jaipur,Neurology,40,88,3/22/2023,3/25/2023,8333.48
Fortis Care,Ahmedabad,Dermatology,9,106,11/14/2023,11/21/2023,44526.27
Healing Touch,Pune,General Medicine,48,25,10/16/2023,10/28/2023,4514.63
Metro Hospital,Ahmedabad,Gynecology,23,20,4/17/2023,4/22/2023,25418.26
Fortis Care,Hyderabad,ENT,19,152,9/18/2023,9/19/2023,39298.3
Heritage Hospital,Jaipur,General Medicine,26,169,2/18/2023,2/19/2023,41677.34
Metro Hospital,Lucknow,Neurology,42,163,5/19/2023,5/26/2023,8684.16
